country_code,country_name,region,income_level,capital_city,latitude,longitude,gdp_per_capita,gdp_per_capita_year,life_expectancy,life_expectancy_year,internet_users_pct,internet_users_pct_year,urban_population_pct,urban_population_pct_year,unemployment_pct,unemployment_pct_year,electricity_access_pct,electricity_access_pct_year,co2_mt_total_2018,population_2018,co2_tons_per_capita_2018
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Libreville,0.38832,9.45162,8230.04311451151,2024.0,68.511,2024,68.72090149,2024.0,91.8632094677575,2024,20.091,2024.0,94.1,2023.0,4.61,2212318.0,2.083787231311231
GBR,United Kingdom,Europe & Central Asia,High income,London,51.5002,-0.126236,53246.3676145108,2024.0,81.3868536585366,2024,95.4720993,2024.0,83.2429544416085,2024,4.361,2024.0,100.0,2023.0,358.8,66289000.0,5.412662734390321
GEO,Georgia,Europe & Central Asia,Upper middle income,Tbilisi,41.71,44.793,9241.49122313713,2024.0,74.657,2024,83.79855689,2024.0,61.0789605093733,2024,11.557,2024.0,100.0,2023.0,9.46,3726549.0,2.538541690985413
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Accra,5.57045,-0.20795,2390.77237652715,2024.0,65.695,2024,72.17569733,2024.0,58.3654868038581,2024,2.82,2024.0,89.5,2023.0,16.11,30637585.0,0.52582473455398
GIB,Gibraltar,Europe & Central Asia,High income,,,,,,83.63,2024,,,100.0,2024,,,100.0,2023.0,,,
GIN,Guinea,Sub-Saharan Africa,Lower middle income,Conakry,9.51667,-13.7,1694.95375862193,2024.0,60.904,2024,33.30469894,2024.0,38.0713036688655,2024,5.132,2024.0,51.1,2023.0,3.12,12704774.0,0.24557697759912928
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Banjul,13.4495,-16.5885,871.340291776294,2024.0,66.057,2024,49.49430084,2024.0,64.2994103409645,2024,6.48,2024.0,66.9,2023.0,0.57,2399632.0,0.2375364222514119
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Bissau,11.8037,-15.1804,1007.74151728028,2024.0,64.254,2024,29.77739906,2024.0,46.113204421822,2024,2.647,2024.0,40.5,2023.0,0.31,1922168.0,0.16127622559526536
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Malabo,3.7523,8.7741,6745.40013244916,2024.0,63.906,2024,63.29930115,2024.0,71.3574028749806,2024,8.293,2024.0,66.9,2023.0,6.67,1616422.0,4.126397685752854
GRC,Greece,Europe & Central Asia,High income,Athens,37.9792,23.7166,24626.1481858973,2024.0,81.8390243902439,2024,86.26968886,2024.0,78.9967856500534,2024,10.02,2024.0,100.0,2023.0,65.29,10732882.0,6.083175050280065
GRD,Grenada,Latin America & Caribbean,Upper middle income,Saint George's,12.0653,-61.7449,11705.0902976658,2024.0,75.367,2024,70.16159821,2024.0,36.5628000454229,2024,,,94.4,2023.0,0.3,115691.0,2.5931144168517863
GRL,Greenland,Europe & Central Asia,High income,Nuuk,64.1836,-51.7214,58498.9707973609,2023.0,70.2734146341463,2024,,,88.3195347935238,2024,,,100.0,2023.0,,,
GTM,Guatemala,Latin America & Caribbean,Upper middle income,Guatemala City,14.6248,-90.5328,6150.02571438505,2024.0,72.746,2024,60.22140121,2024.0,55.9547027274763,2024,2.613,2024.0,100.0,2023.0,18.21,16845685.0,1.0809889891684428
GUM,Guam,East Asia & Pacific,High income,Agana,13.4443,144.794,41833.1517132825,2022.0,77.422,2024,,,94.1726346571831,2024,5.252,2024.0,100.0,2023.0,,,
