country_code,country_name,region,income_level,log_gdp_per_capita,life_expectancy,internet_users_pct,urban_population_pct,unemployment_pct,electricity_access_pct,log1p_co2_tons_per_capita_2018,z_log_gdp_per_capita,z_life_expectancy,z_internet_users_pct,z_urban_population_pct,z_unemployment_pct,z_electricity_access_pct,z_log1p_co2_tons_per_capita_2018
JPN,Japan,East Asia & Pacific,High income,4.511710648545825,84.0363414634146,85.54153081,92.1901718034531,2.5,100.0,2.2744760834646467,1.0370101579220579,1.488490143963516,0.5724225935918782,1.4395504708535527,-0.7675429475402823,0.5703318274653716,1.173424520975544
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,4.150898598030704,74.531,93.39167254,62.072531584162,4.833,100.0,2.5371716274111784,0.4644769865892264,0.14636354677310434,0.875907374313604,0.020299940060873725,-0.35212208610725315,0.5703318274653716,1.4916822740528488
KEN,Kenya,Sub-Saharan Africa,Lower middle income,3.3288757044983206,63.834,34.97622513,31.8937831721599,5.487,76.2,0.3122395395665086,-0.8399012166065178,-1.364021773460145,-1.3824211830212898,-1.401830226530274,-0.23566891706430376,-0.4553581731614812,-1.2038407500117163
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,3.3838486407864568,72.4,92.0286026,34.7219977865937,3.491,100.0,0.995838554042317,-0.7526706778659464,-0.1545274616794575,0.8232113853649717,-1.2685546756071393,-0.5910825644797886,0.5703318274653716,-0.37565507512561175
KHM,Cambodia,East Asia & Pacific,Lower middle income,3.419605479654574,70.817,68.47530365,40.8727033252729,0.254,95.0,0.5222013298957113,-0.6959320619445186,-0.37804246232723276,-0.08735405574000057,-0.9787115126979636,-1.1674723323575062,0.35485073489670504,-0.9494703613161967
KOR,"Korea, Rep.",East Asia & Pacific,High income,4.5591718895732605,83.6292682926829,97.89563777,81.1682528469686,2.784,100.0,2.5824646188971565,1.112321209207721,1.4310125949933399,1.0500296955681558,0.9201583732175344,-0.7169730698519068,0.5703318274653716,1.5465550955857896
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,4.514783013625283,84.580487804878,99.74729919,100.0,2.151,100.0,3.0769203654746513,1.041885357960202,1.5653220263796095,1.1216145254154997,1.807577405654679,-0.8296869169531101,0.5703318274653716,2.1455921882512983
LAO,Lao PDR,East Asia & Pacific,Lower middle income,3.3271502377674804,69.225,65.59269714,39.5552154401406,1.174,96.5,1.2909024409769025,-0.8426391710014081,-0.6028282368258147,-0.1987949996978837,-1.0407962366893626,-1.0036544187191065,0.419495062667305,-0.01818281556885844
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,3.541295224641813,77.945,80.63400269,90.703695784554,10.985,100.0,1.7282141849057688,-0.502835918074713,0.6284104275131523,0.3826986183301091,1.3695024238129405,0.743321179874742,0.5703318274653716,0.5116238607310886
LBR,Liberia,Sub-Saharan Africa,Low income,2.9301834913920657,62.324,32.23360062,55.5387986654968,2.914,32.5,0.23661329832075118,-1.4725422739923297,-1.5772293862069164,-1.4884504531475224,-0.28759283790430024,-0.6938248864030023,-2.3386629222116273,-1.2954625462971372
