country_code,country_name,region,income_level,start_year,end_year,years_observed,start_som_row,start_som_col,end_som_row,end_som_col,complete_full_window,total_feature_distance,mean_feature_step,max_single_year_feature_step,total_som_steps,max_single_year_som_step
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income,2014,2023,10,0,11,0,11,True,2.5769,0.2863,0.4832,0,0
LAO,Lao PDR,East Asia & Pacific,Lower middle income,2014,2023,10,8,4,9,9,True,2.5219,0.2802,0.4374,6,3
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,2014,2023,10,7,5,6,7,True,2.521,0.2801,0.6003,7,4
USA,United States,North America,High income,2014,2023,10,3,9,2,10,True,2.5106,0.279,0.773,6,2
CHL,Chile,Latin America & Caribbean,High income,2014,2023,10,3,7,2,8,True,2.5082,0.2787,0.6021,6,2
NPL,Nepal,South Asia,Lower middle income,2014,2023,10,4,3,4,4,True,2.5031,0.2781,0.4506,1,1
TJK,Tajikistan,Europe & Central Asia,Lower middle income,2014,2023,10,9,5,9,7,True,2.5005,0.2778,0.5148,4,1
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,2014,2023,10,4,6,5,9,True,2.4969,0.2774,0.5127,6,3
ARG,Argentina,Latin America & Caribbean,Upper middle income,2014,2023,10,3,7,3,8,True,2.483,0.2759,0.5457,5,3
TUR,Turkiye,Europe & Central Asia,Upper middle income,2014,2023,10,3,6,2,7,True,2.4604,0.2734,0.4802,2,1
IDN,Indonesia,East Asia & Pacific,Upper middle income,2014,2023,10,7,5,7,8,True,2.4559,0.2729,0.4721,3,1
THA,Thailand,East Asia & Pacific,Upper middle income,2014,2023,10,6,6,7,10,True,2.4496,0.2722,0.4033,9,6
MLI,Mali,Sub-Saharan Africa,Low income,2014,2023,10,8,1,7,3,True,2.4123,0.268,0.6313,7,1
CYP,Cyprus,Europe & Central Asia,High income,2014,2023,10,0,5,4,11,True,2.3935,0.2659,0.4699,10,10
BLZ,Belize,Latin America & Caribbean,Upper middle income,2014,2023,10,8,7,9,11,True,2.3922,0.2658,0.5017,5,5
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,2014,2023,10,3,0,2,0,True,2.3544,0.2616,0.8667,1,1
ALB,Albania,Europe & Central Asia,Upper middle income,2014,2023,10,1,3,0,4,True,2.3429,0.2603,0.3308,4,1
KEN,Kenya,Sub-Saharan Africa,Lower middle income,2014,2023,10,8,2,8,4,True,2.3335,0.2593,0.4456,2,1
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,2014,2023,10,4,0,3,1,True,2.3308,0.259,0.506,2,1
LTU,Lithuania,Europe & Central Asia,High income,2014,2023,10,1,5,4,10,True,2.3236,0.2582,0.4115,12,10
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,2014,2023,10,5,3,5,3,True,2.3077,0.2564,0.6985,0,0
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,2014,2023,10,7,3,6,4,True,2.3024,0.2558,1.0,2,1
PHL,Philippines,East Asia & Pacific,Lower middle income,2014,2023,10,7,5,8,9,True,2.2966,0.2552,0.6475,5,2
SVK,Slovak Republic,Europe & Central Asia,High income,2014,2023,10,0,4,6,11,True,2.2916,0.2546,0.3297,13,13
MDV,Maldives,South Asia,Upper middle income,2014,2023,10,8,11,7,11,True,2.2595,0.2511,0.3807,1,1
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,2014,2023,10,7,6,8,9,True,2.2556,0.2506,0.5403,4,2
RUS,Russian Federation,Europe & Central Asia,High income,2014,2023,10,5,8,5,9,True,2.2443,0.2494,0.4042,1,1
